species,Guild,source
Sigmophora brevicornis,Micro Wasps,original
Pyrausta sanguinalis,Moths,original
Idaea biselata,Moths,original
Diarsia brunnea,Moths,original
Spilarctia lutea,Moths,original
Catastia marginea,Moths,original
Formica cunicularia,Ants,original
Celastrina argiolus,Butterflies,original
Argynnis paphia,Butterflies,original
Aglais io,Butterflies,original
Lycaena virgaureae,Butterflies,original
Agrodiaetus damon,Butterflies,original
Cerapteryx graminis,Moths,original
Cyclophora punctaria,Moths,original
Horisme vitalbata,Moths,original
Pleurota aristella,Moths,original
Carterocephalus palaemon,Butterflies,original
Anaplectoides prasina,Moths,original
Xestia ochreago,Moths,original
Boloria titania,Butterflies,original
Erebia oeme,Butterflies,original
Charissa glaucinaria,Moths,original
Ptilodon cucullina,Moths,original
Catocala nymphaea,Moths,original
Eupithecia oxycedrata,Moths,original
Boloria dia,Butterflies,original
Perconia strigillaria,Moths,original
Macroglossum stellatarum,Moths,original
Satyrium w-album,Butterflies,original
Apatura iris,Butterflies,original
Lasius brunneus,Ants,original
Minois dryas,Butterflies,original
Stenoptilia pterodactyla,Moths,original
Erebia meolans,Butterflies,original
Hipparchia semele,Butterflies,original
Plagodis pulveraria,Moths,original
Selidosema brunnearia,Moths,original
Ascotis selenaria,Moths,original
Sphinx ligustri,Moths,original
Coscinia cribraria,Moths,original
Maculinea arion,Butterflies,original
Coenonympha arcania,Butterflies,original
Melitaea varia,Butterflies,original
Pyrausta coracinalis,Moths,original
Erebia tyndarus,Butterflies,original
Apis mellifera,Honey Bees,original
Chelostoma campanularum,Wild Bees,original
Syngrapha interrogationis,Moths,original
Coenonympha dorus,Butterflies,original
Bombus quadricolor,Bumblebees,original
Ancylosis cinnamomella,Moths,original
Hyponephele lycaon,Butterflies,original
Parnassius apollo,Butterflies,original
Parnassius mnemosyne,Butterflies,original
Chersotis multangula,Moths,original
Menophra abruptaria,Moths,original
Idaea subsericeata,Moths,original
Elkalyce argiades,Butterflies,original
